Age,Year,Cases
Under 1,2012,250
1 to 4,2012,323
5 to 9,2012,339
10 to 14,2012,397
15 to 19,2012,231
20 to 24,2012,131
25 to 29,2012,76
30 to 34,2012,58
35 and over,2012,115
Under 1,2013,165
1 to 4,2013,254
5 to 9,2013,204
10 to 14,2013,330
15 to 19,2013,181
20 to 24,2013,95
25 to 29,2013,48
30 to 34,2013,35
35 and over,2013,102
Under 1,2014,19
1 to 4,2014,29
5 to 9,2014,5
10 to 14,2014,4
15 to 19,2014,4
20 to 24,2014,10
25 to 29,2014,8
30 to 34,2014,8
35 and over,2014,15
Under 1,2015,8
1 to 4,2015,16
5 to 9,2015,8
10 to 14,2015,20
15 to 19,2015,13
20 to 24,2015,10
25 to 29,2015,7
30 to 34,2015,1
35 and over,2015,8
Under 1,2016,30
1 to 4,2016,51
5 to 9,2016,43
10 to 14,2016,68
15 to 19,2016,106
20 to 24,2016,74
25 to 29,2016,56
30 to 34,2016,29
35 and over,2016,69
Under 1,2017,43
1 to 4,2017,58
5 to 9,2017,33
10 to 14,2017,26
15 to 19,2017,23
20 to 24,2017,22
25 to 29,2017,19
30 to 34,2017,11
35 and over,2017,30
Under 1,2018,105
1 to 4,2018,160
5 to 9,2018,94
10 to 14,2018,77
15 to 19,2018,126
20 to 24,2018,95
25 to 29,2018,92
30 to 34,2018,70
35 and over,2018,149
Under 1,2019,12
1 to 4,2019,206
5 to 9,2019,91
10 to 14,2019,91
15 to 19,2019,82
20 to 24,2019,71
25 to 29,2019,59
30 to 34,2019,61
35 and over,2019,124
Under 1,2020,1
1 to 4,2020,14
5 to 9,2020,7
10 to 14,2020,6
15 to 19,2020,8
20 to 24,2020,7
25 to 29,2020,8
30 to 34,2020,5
35 and over,2020,23
Under 1,2021,0
1 to 4,2021,1
5 to 9,2021,0
10 to 14,2021,0
15 to 19,2021,0
20 to 24,2021,1
25 to 29,2021,0
30 to 34,2021,0
35 and over,2021,0
Under 1,2022,12
1 to 4,2022,10
5 to 9,2022,11
10 to 14,2022,3
15 to 19,2022,2
20 to 24,2022,5
25 to 29,2022,2
30 to 34,2022,4
35 and over,2022,4
Under 1,2023,47
1 to 4,2023,99
5 to 9,2023,75
10 to 14,2023,49
15 to 19,2023,21
20 to 24,2023,13
25 to 29,2023,22
30 to 34,2023,8
35 and over,2023,33
Under 1,2024,333
1 to 4,2024,710
5 to 9,2024,655
10 to 14,2024,287
15 to 19,2024,172
20 to 24,2024,155
25 to 29,2024,160
30 to 34,2024,161
35 and over,2024,278
